id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze,zona,data_segnalazione
SS-BOL-0579,Via Cristoforo da Bologna,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0580,Via Croara,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0581,Via Croce di Camaldoli,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0582,Via Crociali,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0583,Via Crocione,,rosso,4,strada secondaria trafficata,no,2,si,0,B1,
SS-BOL-0584,Via Cuneo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0585,Via Dalla Volta,,verde,1,ciclabile presente (da OpenStreetMap),si,1,si,0,B1,
SS-BOL-0586,Via Daniele Manin,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0587,Via Dante Alighieri,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,A1,
SS-BOL-0588,Via Dante Benazzi,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0589,Via De Coubertin,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0590,Via Decumana,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0591,Via Delfino Insolera,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0592,Via Demetrio Martinelli,,blu,2,zona pedonale / living street,no,1,si,0,B1,
SS-BOL-0593,Via Dino Campana,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0594,Via Dionisio Calvart,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0595,Via Domenico Aimo,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0596,Via Domenico Bianchini,,blu,2,zona pedonale / living street,no,1,no,0,B1,
SS-BOL-0597,Via Domenico Biancolelli,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0598,Via Domenico Cimarosa,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0599,Via Domenico Guglielmini,,blu,2,zona pedonale / living street,no,1,no,0,A1,
SS-BOL-0600,Via Domenico Morelli,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0601,Via Domenico Scarlatti,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0602,Via Domenico Svampa,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0603,Via Domenico Zampieri,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B1,
SS-BOL-0604,Via Domodossola,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0605,Via Domokos,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0606,Via Don Carlo Gnocchi,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0607,Via Don Giovanni Fiammelli,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0608,Via Don Giovanni Fornasini,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0609,Via Don Giovanni Minzoni,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,B1,
SS-BOL-0610,Via Don Giovanni Verità,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0611,Via Don Giulio Salmi,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0612,Via Don Giuseppe Bedetti,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0613,Via Don Luigi Guanella,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0614,Via Don Luigi Orione,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0615,Via Don Luigi Sturzo,,verde,1,ciclabile presente (da OpenStreetMap),si,3,no,0,A1,
SS-BOL-0616,Via Don Olinto Marella,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0617,Via Don Saverio Aquilano,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0618,Via Donatello,,blu,2,zona pedonale / living street,no,1,no,0,B1,
SS-BOL-0619,Via Donato Creti,,rosso,4,strada secondaria trafficata (3 corsie),no,3,si,0,B1,
SS-BOL-0620,Via Dosso Dossi,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0621,Via Drapperie,,blu,2,zona pedonale / living street,no,1,si,0,B1,
SS-BOL-0622,Via Duccio di Boninsegna,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0623,Via Due Madonne,,rosso,4,strada secondaria trafficata (2 corsie),no,2,no,0,A1,
SS-BOL-0624,Via Due Portoni,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0625,Via Edgar Allan Poe,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0626,Via Edmondo De Amicis,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0627,Via Edoardo Brizio,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B1,
SS-BOL-0628,Via Edoardo Collamarini,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0629,Via Edoardo Ferravilla,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,B1,
SS-BOL-0630,Via Edoardo Weber,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,B1,
SS-BOL-0631,Via Egnazia,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0632,Via Egnazio Danti,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0633,Via Eleonora Duse,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0634,Via Elio Bernardi,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0635,Via Elio Bragaglia,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,B1,
SS-BOL-0636,Via Emilia Levante,,verde,1,ciclabile presente (da OpenStreetMap),si,2,no,0,A1,
SS-BOL-0637,Via Emilia Ponente,,verde,1,ciclabile presente (da OpenStreetMap),si,1,si,0,B1,
SS-BOL-0638,Via Emilio Baumann,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0639,Via Emilio Salgari,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,B1,
SS-BOL-0640,Via Emilio Zago,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0641,Via Enea Stefani,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0642,Via Enio Gnudi,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,B1,
SS-BOL-0643,Via Enrico Berlinguer,,rosso,4,strada secondaria trafficata (2 corsie),no,2,si,0,B1,
SS-BOL-0644,Via Enrico Capelli,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0645,Via Enrico Caruso,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0646,Via Enrico De Nicola,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0647,Via Enrico Fermi,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0648,Via Enrico Ferri,,blu,2,zona pedonale / living street,no,1,no,0,B1,
SS-BOL-0649,Via Enrico Golinelli,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0650,Via Enrico Mattei,,verde,1,ciclabile presente (da OpenStreetMap),si,1,si,0,B1,
SS-BOL-0651,Via Enrico Redenti,,blu,2,zona pedonale / living street,no,1,no,0,A1,
SS-BOL-0652,Via Enzo Ferrari,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,B1,
SS-BOL-0653,Via Enzo Zoni,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0654,Via Erbosa,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0655,Via Ercole De' Roberti,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,no,0,B1,
SS-BOL-0656,Via Ercole Graziani,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0657,Via Ercole Lelli,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0658,Via Ercole Nani,,verde,1,ciclabile presente (da OpenStreetMap),si,2,no,0,B1,
SS-BOL-0659,Via Ermanno Galeotti,,verde,1,ciclabile presente (da OpenStreetMap),si,2,si,0,B1,
SS-BOL-0660,Via Ermete Novelli,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0661,Via Ermete Zacconi,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0662,Via Ernesto Masi,,rosso,4,strada secondaria trafficata (3 corsie),no,3,no,0,A1,
SS-BOL-0663,Via Errico Malatesta,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0664,Via Estro Menabue,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0665,Via Etruria,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0666,Via Ettore Bidone,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B1,
SS-BOL-0667,Via Ettore Nadalini,,verde,1,ciclabile presente (da OpenStreetMap),si,2,no,0,A1,
SS-BOL-0668,Via Ettore Zaniboni,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0669,Via Eugenio Curiel,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0670,Via Eustachio Manfredi,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0671,Via Evangelista Torricelli,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0672,Via Evaristo Guizzardi,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0673,Via Ezio Cesarini,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0674,Via Faenza,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,A1,
SS-BOL-0675,Via Faustino Malaguti,,rosso,4,strada secondaria trafficata (4 corsie),no,4,no,0,B1,
SS-BOL-0676,Via Federico Chopin,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0677,Via Federico Venturini,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0678,Via Federigo Enriques,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0679,Via Federigo Guarducci,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0680,Via Felice Battaglia,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0681,Via Felice Cavallotti,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0682,Via Felicina,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
