id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze,municipio,data_segnalazione
SS-ROM-14323,Via della Cronaca,Municipio Roma VIII,giallo,3,strada urbana senza ciclabile,no,2,no,0,VIII,2026-06-27
SS-ROM-14324,Via della Cuccagna,Municipio Roma II,blu,2,zona pedonale / living street,no,1,no,0,II,2026-06-27
SS-ROM-14325,Via della Dea Opi,Municipio Roma V,giallo,3,strada urbana senza ciclabile,no,2,no,0,V,2026-06-27
SS-ROM-14326,Via della Divina Provvidenza,Municipio Roma XIII,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,XIII,2026-06-27
SS-ROM-14327,Via della Divisione Folgore,Municipio Roma VIII,giallo,3,strada urbana senza ciclabile,no,2,no,0,VIII,2026-06-27
SS-ROM-14328,Via della Divisione Torino,Municipio Roma VIII,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,VIII,2026-06-27
SS-ROM-14329,Via della Domus Aurea,Municipio Roma II,giallo,3,strada urbana senza ciclabile,no,2,no,0,II,2026-06-27
SS-ROM-14330,Via della Efemera,Municipio Roma VIII,giallo,3,strada urbana senza ciclabile,no,2,no,0,VIII,2026-06-27
SS-ROM-14331,Via della Falcognana,Municipio Roma VI,rosso,4,strada secondaria trafficata (2 corsie),no,2,no,0,VI,2026-06-27
SS-ROM-14332,Via della Fanella,Municipio Roma XII,giallo,3,strada urbana senza ciclabile,no,2,no,0,XII,2026-06-27
SS-ROM-14333,Via della Farfalla,Municipio Roma V,giallo,3,strada urbana senza ciclabile,no,2,no,0,V,2026-06-27
SS-ROM-14334,Via della Farnesina,Municipio Roma III,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,si,0,III,2026-06-27
SS-ROM-14335,Via della Fattoria di Torrenova,Municipio Roma VII,giallo,3,strada urbana senza ciclabile,no,2,no,0,VII,2026-06-27
SS-ROM-14336,Via della Felce,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-14337,Via della Ferratella in Laterano,Municipio Roma II,rosso,4,strada principale trafficata (2 corsie),no,2,si,0,II,2026-06-27
SS-ROM-14338,Via della Fisica,Municipio Roma IX,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,IX,2026-06-27
SS-ROM-14339,Via della Foce,Municipio Roma XI,blu,2,zona pedonale / living street,no,1,no,0,XI,2026-06-27
SS-ROM-14340,Via della Foce dell'Aniene,Municipio Roma III,giallo,3,strada urbana senza ciclabile,no,2,no,0,III,2026-06-27
SS-ROM-14341,Via della Fontan di Finocchio,Municipio Roma VII,giallo,3,strada urbana senza ciclabile,no,2,no,0,VII,2026-06-27
