id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze
SS-ROM-0250,Via della Pineta Sacchetti,Monte Mario,giallo,3,ciclabile presente ma al centro della carreggiata poco utile ne attrattiva - segnalazione @metaiyo,si,2,no,1
SS-ROM-0412,Percorso Ciclopedonale Elettra Pollastrini,Municipio XIV,verde,1,segnalazione community Sentinelle,si,2,no,1
