id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze,zona,data_segnalazione
SS-NAP-1018,Via Emanuele de Deo,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-NAP-1019,Via Emilia,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-1020,Via Emilio Franceschini,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-1021,Via Emilio Salgari,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1022,Via Emilio Scaglione,,rosso,4,strada secondaria trafficata (2 corsie),no,2,no,0,B1,
SS-NAP-1023,Via Empedocle,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-NAP-1024,Via Enea,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1025,Via Enea Zanfagna,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-1026,Via Eneide,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,no,0,A1,
SS-NAP-1027,Via Ennio,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1028,Via Enrico Alvino,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1029,Via Enrico Arlotta,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-1030,Via Enrico Caruso,,blu,2,zona pedonale / living street,no,1,no,0,A1,
SS-NAP-1031,Via Enrico Cocchia,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-1032,Via Enrico Cosenz,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-NAP-1033,Via Enrico Forzati,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-NAP-1034,Via Enrico Mazzoccolo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-NAP-1035,Via Enrico Pessina,,rosso,4,strada principale trafficata,no,2,no,0,B2,
SS-NAP-1036,Via Enrico Petrella,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1037,Via Enrico Presutti,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-NAP-1038,Via Enrico Russo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-NAP-1039,Via Enrico Toti,,blu,2,zona pedonale / living street,no,1,no,0,A2,
SS-NAP-1040,Via Enrico de Marinis,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-NAP-1041,Via Enzo Petraccone,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1042,Via Enzo Striano,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-1043,Via Enzo Tortora,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-1044,Via Epitaffio,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1045,Via Eraclito,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-NAP-1046,Via Erasmo Percopo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1047,Via Ercolano Salvi,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-1048,Via Ernesto Capocci,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-NAP-1049,Via Ernesto Cesaro,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-1050,Via Ernesto Grassi,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1051,Via Ernesto Murolo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1052,Via Ernesto Pascal,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-1053,Via Ernesto Ricci,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-1054,Via Ernesto Rossi,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-NAP-1055,Via Esopo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1056,Via Etna,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1057,Via Ettore Bellini,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1058,Via Ettore Ciccotti,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1059,Via Ettore Giannini,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-NAP-1060,Via Ettore Lepore,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-NAP-1061,Via Ettore Lupo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1062,Via Ettore Majorana,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-NAP-1063,Via Ettore Pancini,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-NAP-1064,Via Euclide,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-1065,Via Eugenio Colorni,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-NAP-1066,Via Eugenio Montale,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1067,Via Eugenio Reale,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-NAP-1068,Via Eurialo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1069,Via Evangelista Torricelli,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-NAP-1070,Via Fabio Filzi,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,A2,
SS-NAP-1071,Via Fabio Galeota,,blu,2,accesso limitato (ZTL),no,1,no,0,B2,
SS-NAP-1072,Via Fabio Giordano,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-NAP-1073,Via Fabio Massimo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1074,Via Fabrizio Padula,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-1075,Via Fabrizio Pignatelli,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-NAP-1076,Via Falcone Beneventano,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
