id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze,zona,data_segnalazione
SS-MIL-3789,Via San Luigi Orione,,giallo,3,strada urbana senza ciclabile,no,2,no,0,C1,
SS-MIL-3790,Via San Mamete,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,C2,
SS-MIL-3791,Via San Marchetto,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-MIL-3792,Via San Marco,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3793,Via San Marino,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-MIL-3794,Via San Martino,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3795,Via San Maurilio,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3796,Via San Michele del Carso,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,C1,
SS-MIL-3797,Via San Miniato,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,C2,
SS-MIL-3798,Via San Mirocle,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,A2,
SS-MIL-3799,Via San Nereo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3800,Via San Nicolao,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3801,Via San Novo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-MIL-3802,Via San Paolino,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-MIL-3803,Via San Paolo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3804,Via San Pietro,,giallo,3,strada urbana senza ciclabile,no,2,no,0,C1,
SS-MIL-3805,Via San Pietro all'Orto,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-MIL-3806,Via San Pio Quinto,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3807,Via San Primo,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3808,Via San Prospero,,blu,2,accesso limitato (ZTL),no,1,si,0,B2,
SS-MIL-3809,Via San Protaso,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3810,Via San Rafael delle Ande,,giallo,3,strada urbana senza ciclabile,no,2,no,0,C2,
SS-MIL-3811,Via San Raffaele,,blu,2,zona pedonale / living street,no,1,no,0,B2,
SS-MIL-3812,Via San Riccardo Pampuri,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-MIL-3813,Via San Rocco,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3814,Via San Senatore,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3815,Via San Simpliciano,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3816,Via San Siro,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-MIL-3817,Via San Sisto,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3818,Via San Tomaso,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3819,Via San Venerio,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,A2,
SS-MIL-3820,Via San Vigilio,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-MIL-3821,Via San Vincenzo,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3822,Via San Vito,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3823,Via San Vittore,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-MIL-3824,Via San Vittore al Teatro,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3825,Via Sandro Botticelli,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-MIL-3826,Via Sandro Camasio,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,C1,
SS-MIL-3827,Via Sandro Pertini,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,A2,
SS-MIL-3828,Via Sandro Sandri,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3829,Via Sangallo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3830,Via Sangro,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,C2,
SS-MIL-3831,Via Sanguinetti,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-MIL-3832,Via Sannio,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3833,Via Sanremo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3834,Via Sansovino,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3835,Via Sant'Abbondio,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-MIL-3836,Via Sant'Achilleo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3837,Via Sant'Agnese,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-MIL-3838,Via Sant'Alessandro Sauli,,giallo,3,strada urbana senza ciclabile,no,2,si,0,C2,
SS-MIL-3839,Via Sant'Anatalone,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
